1; "A Alura"; "A Alura compõe o maior ecossistema de ensino em tecnologia do Brasil e tem como missão transformar vidas e carreiras. É a maior escola online de tecnologia do Brasil."
2; "Ecossistema de ensino tech do Brasil"; "Juntas, a Alura, FIAP e PM3 formam o maior ecossistema de educação em tecnologia do Brasil."
3; "Pós Tech"; "Pós Graduações Tech Intensive. Cursos de especialização técnica para graduados (lato sensu) desenhados por experts que contam com o melhor da FIAP e da Alura."
4; "Duração dos cursos Pós Tech"; "Todos os cursos Pós Tech têm 360 horas e duração de 10 meses."
5; "Modalidade Pós Tech"; "Os cursos são 100% digitais, assíncronos e hands-on, com uma atividade presencial obrigatória agendada em uma das unidades ou polos da FIAP ao final do curso."
6; "Conteúdo Pós Tech (formato)"; "Os conteúdos Pós Tech são entregues na plataforma FIAP On e são compostos por textos, ilustrações (gráficos, tabelas, fluxogramas, entre outros) e vídeos com transcrição, além de uma série de atividades individuais e em grupo que ajudarão a aprender na prática."
7; "Metodologia de aprendizagem Pós Tech"; "Como metodologia de aprendizagem a Pós Tech adota o Project Based Learning (PBL)."
8; "Avaliação Pós Tech"; "A avaliação na sua Pós Tech é composta por Tech Challenge (projeto ao final de cada fase), Hackathon experience (experiência imersiva e 100% digital ao final das fases) e Atividade presencial (individual, agendada no final do curso)."
9; "TCC Pós Tech"; "Os cursos da Pós Tech não têm a obrigatoriedade de um TCC."
10; "Certificado de conclusão Pós Tech"; "O certificado de conclusão da Pós Tech será emitido pela FIAP. Tem reconhecimento máximo pelo MEC."
11; "Quem pode fazer pós-graduação (Pós Tech)"; "Pessoas com formação superior completa realizada no Brasil e colação de grau em cursos Tecnólogos, Bacharelados ou Licenciaturas. Cursos de formação específica ou sequenciais não habilitam para ingresso."
12; "Documentos para matrícula Pós Tech"; "RG e CPF (cópia), Comprovante de residência (cópia), Histórico escolar da Graduação (cópia - carga horária >= 1.600 horas/aula), Diploma da Graduação (cópia - não são aceitos cursos de formação sequencial ou específica)."
13; "Formas de pagamento Pós Tech"; "À vista R$ 8.856 ou R$ 11.070. Em até 18x de R$ 560 ou R$ 700. A primeira parcela pode ser via cartão de crédito ou boleto, demais parcelas via boleto."
14; "Benefício 20% off Pós Tech (aluno/ex-aluno)"; "Se você é aluno(a) ou ex-aluno(a) FIAP, será identificado pelo CPF. Se for aluno(a) ou ex-aluno(a) Alura, use o e-mail da plataforma. O desconto deverá aparecer automaticamente."
15; "Acesso completo a maior escola online (Pós Tech)"; "Ao se matricular na Pós Tech, você terá acesso completo a todos os cursos da Alura. Isso inclui a comunidade exclusiva no Discord, o suporte da Luri (IA da Alura), e o Alura Língua (cursos de inglês para DEVs)."
16; "Áreas de especialização Pós Tech"; "Cyber, Data, Dev, tech & Business."
17; "Conteúdo 100% Digital e Hands-On Pós Tech (descrição)"; "Pensado para combinar progressão com aplicação. A cada aula, você vai aprender novos conceitos e aplicá-los para desenvolver soluções práticas."
18; "Instrutores e especialistas Pós Tech"; "Cada Pós Tech é criada por professores, experts de mercado e especialistas da FIAP e da Alura."
19; "Lideranças Pós Tech (Coordenadores)"; "Thiago da Silva Adriano (Software Technical Leader - Grupo Bandeirantes de Comunicação) e Vinícius Vieira (SecOps Manager - Vórtex) são coordenadores."
20; "Início da turma Pós Tech"; "Março de 2025."
21; "Certificados Pós Tech (fases)"; "Ao final de cada fase, mediante uma nota mínima, você conquista um certificado."
22; "Processo seletivo Pós Tech"; "100% digital."
23; "Contato Pós Tech (graduação fora do Brasil)"; "Entre em contato pelo WhatsApp (11) 98170-0028 para orientações."
